Epoch,Train Accuracy (%),Val Accuracy (%),Train Loss,Val Loss,Train/Val Gap (%)
1,48.25,61.64,1.1219,0.8441,13.39
2,61.06,70.93,0.9053,0.6954,9.87
3,65.31,72.09,0.8160,0.6546,6.78
4,67.83,76.12,0.7460,0.5742,8.30
5,70.34,72.66,0.7131,0.6535,2.32
6,71.52,76.52,0.6879,0.5747,5.01
7,73.22,77.09,0.6484,0.5456,3.87
8,74.92,77.72,0.6107,0.5428,2.80
9,76.19,81.39,0.5898,0.4652,5.20
10,77.41,81.82,0.5556,0.4551,4.41
11,78.10,82.12,0.5391,0.4391,4.02
12,79.23,82.18,0.5178,0.4252,2.95
13,80.62,85.18,0.4895,0.3677,4.57
14,81.50,85.45,0.4684,0.3645,3.95
15,82.15,86.38,0.4549,0.3567,4.23
16,82.51,87.61,0.4358,0.3167,5.11
17,83.24,85.38,0.4138,0.3542,2.14
18,84.06,88.34,0.3955,0.2886,4.28
19,84.51,87.95,0.3936,0.2990,3.43
20,84.58,87.65,0.3849,0.3124,3.07
21,85.38,89.31,0.3698,0.2903,3.93
22,85.70,88.68,0.3616,0.2913,2.98
23,86.18,89.04,0.3429,0.2972,2.87
24,86.84,88.78,0.3331,0.2983,1.93
25,86.97,86.31,0.3331,0.3453,0.66
26,87.44,90.34,0.3215,0.2471,2.90
27,88.28,90.24,0.2975,0.2426,1.96
28,88.22,87.51,0.3033,0.3020,0.71
29,88.35,90.44,0.3022,0.2361,2.09
30,88.63,89.81,0.2873,0.2512,1.18
31,88.62,87.74,0.2812,0.2528,0.88
32,88.71,88.49,0.2660,0.2345,0.23
33,88.85,88.13,0.2590,0.2200,0.71
34,89.20,89.11,0.2591,0.2200,0.09
35,89.30,88.71,0.2590,0.2223,0.59
36,89.28,88.09,0.2486,0.2326,1.19
37,89.77,88.65,0.2402,0.2374,1.12
38,89.48,88.58,0.2275,0.2333,0.90
39,89.31,88.65,0.2153,0.2247,0.66
40,89.21,88.32,0.2024,0.2274,0.88
41,88.99,88.07,0.2000,0.2200,0.92
42,88.94,89.36,0.2000,0.2200,0.42
43,89.46,88.17,0.2000,0.2200,1.29
44,89.48,89.53,0.2000,0.2268,0.05
45,89.46,89.02,0.2038,0.2235,0.44
46,89.36,89.02,0.2000,0.2254,0.34
47,89.44,88.25,0.2000,0.2239,1.19
48,89.52,88.96,0.2000,0.2312,0.56
49,89.59,89.09,0.2039,0.2200,0.51
50,90.00,88.59,0.2000,0.2200,1.41
